date,CF,FG,MA,OI,RM,SR,TA,ZC
20151120,1.04088721364,0.963099645306,1.03208843904,1.06201381257,1.39766715028,1.3501815017,1.18125647221,1.00830028037
20151123,1.04215569117,0.957990650511,1.03171538156,1.06314113736,1.43768416265,1.33411596959,1.1948270997,1.00830028037
20151124,1.04215569117,0.943613838358,1.05829281855,1.06280222975,1.45244527625,1.32898792953,1.19618227157,1.00830028037
20151125,1.03931682864,0.942903111367,1.06504992124,1.06280222975,1.44148084298,1.32824484902,1.20604248801,1.00718580154
20151126,1.03235506485,0.946464064144,1.05616934575,1.05970328801,1.4463831161,1.32397006991,1.22022371699,0.996244246269
20151127,1.02833455365,0.938238647751,1.06461183647,1.05670609773,1.44955482424,1.32600016763,1.23327774761,0.995149202808
20151130,1.02811993747,0.932622183891,1.05223290356,1.05670609773,1.44684243909,1.31667228294,1.23058785626,0.985021504088
20151201,1.01561180206,0.931960879945,1.05100410034,1.05494472337,1.45957975141,1.32106021608,1.23052734145,0.982954851805
20151202,1.01591101244,0.923536272457,1.04987634236,1.04799136867,1.45273476376,1.31505539809,1.22609747077,0.980368627322
20151203,1.0178517058,0.923219699627,1.04289839742,1.04532499638,1.45946086807,1.31499783309,1.22630502409,0.980918537334
20151204,1.01510390629,0.932958909172,1.04352347908,1.04532499638,1.45948809626,1.33062384524,1.22580023085,0.971420701058
20151207,1.01510390629,0.934661806024,1.05089389507,1.04557165949,1.45476400523,1.34192573997,1.23521794674,0.981715591064
20151208,1.01499616448,0.928550319861,1.05333340355,1.05068224373,1.47871586836,1.34843544576,1.24357645022,0.985272482512
20151209,1.01470067086,0.921712591067,1.06497135555,1.04591581672,1.48469442551,1.34454844784,1.26433829324,0.985272482512
20151210,1.00497068402,0.918772263391,1.06156124673,1.04139331666,1.48766443931,1.34507637569,1.26752924135,0.982088322731
20151211,1.00115709801,0.92212728632,1.0560288978,1.04139331666,1.49173843026,1.37071937956,1.26269079332,0.980447514942
20151214,0.995784112928,0.916777908378,1.05345707449,1.04057469563,1.49486390689,1.36425608608,1.25825826617,0.977691868214
20151215,0.995784112928,0.914202626865,1.05670609422,1.03571802018,1.48624540464,1.35707915001,1.26674188536,0.977691868214
20151216,0.995250096621,0.913851367201,1.0538788714,1.03571802018,1.48454609573,1.35349812404,1.26603110497,0.979184612894
20151217,0.996062715704,0.914318461344,1.06391712415,1.03943892055,1.51011587517,1.35393422208,1.26460453442,0.977955297052
20151218,0.996045315428,0.917296096821,1.0636640406,1.03731168654,1.53864613432,1.35124821672,1.26875626544,0.976041864784
20151221,1.00199842209,0.910543806918,1.06265902726,1.03793597609,1.52859695209,1.34646235841,1.26183769238,0.984329865936
20151222,1.00365207671,0.910154288688,1.06389099249,1.03623380594,1.52736131701,1.34568588531,1.2597567564,0.984329865936
20151223,1.00365207671,0.909612723903,1.06321708895,1.03623380594,1.52614917847,1.33946895421,1.26599498858,0.986503595314
20151224,1.00235698914,0.910183474278,1.05670854981,1.03352029564,1.52488712571,1.33751649761,1.2674701039,0.986503595314
20151225,0.999214740755,0.91027292286,1.05567001092,1.03352029564,1.52106372234,1.34181735519,1.2694790662,1.00122309832
20151228,0.999214740755,0.901411958868,1.04713600148,1.03352029564,1.5257556076,1.34751761582,1.26830771139,1.00098695944
20151229,0.99736388495,0.905980918736,1.07605712385,1.04146742698,1.53494319956,1.35886895152,1.27272276752,1.00392185668
