date,a,i,j,jm,m,p,y,CF,FG,MA,OI,RM,SR,TA,ZC,ag,al,au,cu,hc,pb,rb,ru
20150505,1.00220245,1.108743733,1.015563649,0.986522203,0.94445854,0.958544732,0.942370129,1.007406461,1,1.024597136,1,1.066805373,1.098285381,1.10896659,1,1.026987321,0.967738483,0.970374653,1.128408429,1.004655765,1.032404903,1.078933675,0.946593677
20150506,0.998290226,1.10397585,1.013344195,0.985823174,0.94709192,0.960076246,0.932988441,1.004227058,1,1.026624241,1,1.062833906,1.089566607,1.121897664,1,1.02055991,0.974933476,0.969129725,1.119581818,1.00483028,1.030914296,1.070865398,0.93086598
20150507,0.996154452,1.124276433,1.022421689,0.984456838,0.946423164,0.968249215,0.941100387,1.013189867,1,1.036823044,1,1.059529952,1.088765067,1.141420219,1,1.02781805,0.96986207,0.96865057,1.11338516,0.997865548,1.020827234,1.073822037,0.941782457
20150508,0.993439927,1.124175489,1.026755159,0.991404195,0.946313268,0.962468253,0.93724846,1.01237229,1,1.028930116,1,1.067008527,1.088492782,1.124976373,1,1.031446091,0.970261326,0.969770811,1.108416223,1.004336822,1.023222285,1.07303881,0.936346498
20150511,0.989384891,1.119319936,1.023809458,0.988746581,0.946450026,0.972079171,0.933640162,1.013005449,1,1.021809396,1,1.066845873,1.093595099,1.128697279,1,1.034275582,0.968785948,0.97021273,1.107019007,1.0033383,1.024186907,1.068405119,0.930940817
20150512,0.988552194,1.124668881,1.039776074,0.998313555,0.960575992,0.972588658,0.938738724,1.006581577,1,1.018015368,1,1.084728535,1.09661266,1.131912333,1,1.0193431,0.965197957,0.973206922,1.105012059,1.009777982,1.024037685,1.07881827,0.917492995
20150513,0.987747086,1.124267309,1.0387496,0.997233915,0.953338715,0.965827407,0.932622063,1.00279742,1,1.011333479,1,1.081984057,1.099841746,1.131180803,1,1.026475651,0.964496525,0.972616741,1.103554206,1.007906917,1.024517524,1.072937905,0.911328351
20150514,0.985423589,1.121961944,1.027451931,0.991998964,0.957183696,0.955531709,0.929679162,1.001500038,1,1.010344007,1,1.099462638,1.110417734,1.13002167,1,1.020794112,0.967275698,0.973144798,1.105880876,1.009052198,1.025211365,1.069264005,0.937741928
20150515,0.984243425,1.127575614,1.026108425,0.989705867,0.956642474,0.95079977,0.925487772,1.00210825,1,1.009077604,1,1.093780756,1.108250837,1.122396821,1,1.008747396,0.969207255,0.971470632,1.100709266,1.008891859,1.024041621,1.060175829,0.937648773
20150518,0.984062037,1.125838559,1.02413192,0.987592117,0.960643819,0.951356287,0.92633954,1.002377489,1,1.002520904,1,1.096937749,1.110451124,1.117283709,1,1.023517509,0.968676137,0.980655527,1.10512075,1.006905943,1.026927899,1.060939838,0.931213909
20150519,0.987344469,1.117122607,1.024992834,0.987592117,0.958769929,0.939373079,0.931851921,1.003706534,1,1.018942834,1,1.106998649,1.108414935,1.119195778,1,1.036288102,0.968626616,0.982634888,1.103096803,1.006545616,1.026874301,1.05760678,0.939956603
20150520,0.988097246,1.111865166,1.023455183,0.985448907,0.939933761,0.94821105,0.930877908,1.00480009,1,1.006573139,1,1.106596742,1.12825945,1.12971484,1,1.025216641,0.968567076,0.973321237,1.105806585,1.000838989,1.027477175,1.062588941,0.957882338
20150521,0.9844148,1.118734671,1.031233973,0.99057041,0.935855419,0.946669915,0.927832408,1.003938588,1,0.998290444,1,1.105407844,1.133868083,1.13228403,1,1.022579706,0.969780134,0.97114148,1.109513263,0.995979661,1.025828232,1.07324688,0.959490706
20150522,1.005953383,1.110654354,1.022335971,0.980478933,0.939152214,0.94348318,0.927325286,1.006897963,1,0.995063412,1,1.105687388,1.130043928,1.12235771,1,1.025909171,0.96934905,0.971749848,1.110172297,0.993250158,1.02370485,1.069936795,0.954438807
20150525,1.00908773,1.121909297,1.02230464,0.975406575,0.950257677,0.94451733,0.92861199,1.006205108,1,0.999179928,1,1.114767252,1.134867985,1.128133094,1,1.021292425,0.968889868,0.970485432,1.112520937,0.992844251,1.024684062,1.066964386,0.951398702
20150526,1.009007207,1.113566149,1.019972848,0.975198014,0.94707804,0.949146058,0.922289787,1.004383213,1,0.988701121,1,1.110121493,1.17093251,1.139480158,1,1.02453081,0.9692262,0.977838054,1.120446533,0.986885215,1.02519285,1.063994573,0.961761647
20150527,1.007074555,1.11993475,1.017041193,0.97382178,0.948523172,0.949245433,0.922445532,1.004846063,1,0.990496072,1,1.109575119,1.176059317,1.129688388,1,1.02851346,0.9692262,0.977049157,1.119980532,0.986488042,1.024845029,1.060580673,0.95883954
